s.no,source_location,source_latitude,source_longitude,destination_location,destination_latitude,destination_longitude
1,Aundh-Sangvi 28,18.5689,73.8175,Pimpri Chinchwad Municipal Corporation Sewage Treatment Plant,18.6356,73.8145
2,Baner-32,18.559,73.7868,Warje Sewage Treatment Plant,18.4811,73.7932
3,Chinchwad-3,18.6298,73.8,Pimpri Chinchwad Municipal Corporation Sewage Treatment Plant,18.6356,73.8145
4,Dapodi-31,18.5853,73.8334,Pimpri Chinchwad Municipal Corporation Sewage Treatment Plant,18.6356,73.8145
5,Dattawadi-19,18.4961,73.8384,Warje Sewage Treatment Plant,18.4811,73.7932
6,DP Road-38,18.5296,73.876,Mundhwa Sewage Treatment Plant,18.5422,73.9236
7,Kalewadi-10,18.6171,73.7903,Pimpri Chinchwad Municipal Corporation Sewage Treatment Plant,18.6356,73.8145
8,Kothrud-44,18.5074,73.8077,Warje Sewage Treatment Plant,18.4811,73.7932
9,Pashan-1,18.5415,73.7925,Warje Sewage Treatment Plant,18.4811,73.7932
10,Pimpri-25,18.6298,73.7997,Pimpri Chinchwad Municipal Corporation Sewage Treatment Plant,18.6356,73.8145
11,Yerwada RTO-17,18.5529,73.8797,Mundhwa Sewage Treatment Plant,18.5422,73.9236
12,Shivajinagar-76,18.5314,73.8446,Warje Sewage Treatment Plant,18.4811,73.7932
13,Someshwarwadi-7,18.5467,73.8022,Warje Sewage Treatment Plant,18.4811,73.7932
14,Vitthalwadi-19,18.4818,73.8296,Warje Sewage Treatment Plant,18.4811,73.7932
15,Warje-29,18.4865,73.7968,Warje Sewage Treatment Plant,18.4811,73.7932
